distance,camera_height,person_height,type,h1,h2,h3,h4,h5
300,101,153.0,front,0.013127,0.229032,0.148882,0.224827,0.254279
300,101,153.0,front,0.016755,0.19941,0.157163,0.192308,0.207792
300,101,153.0,beside,0.027885,0.165629,0.173327,0.238663,0.082311
300,101,153.0,beside,0.023184,0.18068,0.168921,0.220215,0.10268
300,101,153.0,beside,0.024211,0.150979,0.145631,0.187118,0.218795
300,101,170.2,front,0.0165567310128225,0.2133763205335911,0.148488467747965,0.254228779124567,0.2351839951190853
300,101,170.2,front,0.0157984520317103,0.2262704603771609,0.151862486733432,0.2709204465809766,0.2605581261956549
300,101,170.2,front,0.0185560043706705,0.228566242328543,0.1529685180799268,0.3146533492834399,0.2720501442836902
300,101,170.2,front,0.020333814139176,0.2064448738755486,0.1711425986284709,0.2139844134179626,0.1718291805987536
300,101,170.2,front,0.0168944810584904,0.2329545441769975,0.1704244020475036,0.20176601023812,0.1837059122198847
300,101,170.2,front,0.0187005330898478,0.2417390119282813,0.1607084630064074,0.2978362470490434,0.288190690286649
300,101,169.6,front,0.0188422986801722,0.2449123957594801,0.1677139706803135,0.2598344948690065,0.2716693454878067
300,101,169.6,front,0.0179577008519951,0.2546942177289196,0.1575845555389922,0.270656754654979,0.2784223245587671
300,101,169.6,front,0.0185058396742508,0.2386715240704379,0.1662798020325918,0.2643863568604309,0.2560654863122519
300,101,169.6,beside,0.0275165814223939,0.2289034987180767,0.1947854685829978,0.2514473518377065,0.0968099601036435
300,101,169.6,beside,0.0260645940341482,0.2044098921222026,0.1732271498065189,0.2464835724955522,0.0967300949297813
300,101,169.6,beside,0.0300679373713297,0.228892302714243,0.240059499438736,0.2712957302056921,0.1038319773060677
300,101,154.5,front,0.0144035994859937,0.2031923263795837,0.1407270733974004,0.2479953129612593,0.2338099571408567
300,101,154.5,front,0.0151991525204704,0.2448250048879485,0.1462242817556456,0.2670674285642673,0.2723462078277058
300,101,154.5,front,0.0159252676852873,0.2221198065908117,0.1347407255650169,0.2509546766181948,0.2738591668868926
300,101,154.5,beside,0.0256668722238054,0.2284308357730256,0.193195205444676,0.2234402102141702,0.1381603415419414
300,101,154.5,beside,0.0280029792102804,0.2455460939174495,0.1921687799004071,0.2258160114690815,0.0920999415677952
300,101,150.5,front,0.0173853759261607,0.2315940405679319,0.146050692582662,0.2922296264133935,0.2719739415495311
300,101,150.5,front,0.0170796787901028,0.2340213441859768,0.1454282102461874,0.2678227097811012,0.2635490647606403
300,101,150.5,front,0.0159502210678398,0.240629528104255,0.1451881665234861,0.2145245761293412,0.2600234187833956
300,101,150.5,beside,0.0245424784959883,0.177063406607618,0.1569710333104423,0.2033415191829129,0.0828086684178558
300,101,150.5,beside,0.0240537440954123,0.1738771560073467,0.1589231809362707,0.2015736488357184,0.0820572189685618
300,101,150.5,beside,0.0236450230496203,0.1833224260312892,0.1620374566980117,0.20073848855659,0.0861512037213794
300,101,148.8,front,0.0168143039885798,0.2451524123453916,0.1465727718350578,0.2520102515125613,0.2559802228937506
300,101,148.8,front,0.0148931984979659,0.2699808968966223,0.1325763243918571,0.2442679987057522,0.2487055205027432
300,101,148.8,front,0.0151301585918622,0.2410464809482694,0.136343576914545,0.2669553278206045,0.2558608647316719
300,101,148.8,beside,0.0216184864148492,0.2036954219838436,0.2029025980808901,0.2119717446064535,0.08463245364023
300,101,148.8,beside,0.0209891051668059,0.2114296531041752,0.2074330248956366,0.2145896846476004,0.082231063369219
300,101,148.8,beside,0.0222932091563001,0.192468061775677,0.1980418004934868,0.210246718252063,0.0824197987562941
300,101,175.0,front,0.0207078182333867,0.2552755674149884,0.170239770704021,0.2562797019947433,0.2597816391317388
300,101,175.0,front,0.0177144854081323,0.2678722640645677,0.1825521042353929,0.2669199544719852,0.2851607813368301
300,101,175.0,front,0.0200788706254079,0.2564650178615352,0.1721966274046417,0.2470182977345404,0.2784436334006717
300,101,175.0,front,0.0202503488656589,0.2858643236661343,0.1705014234843681,0.246175204644398,0.2791811257270164
300,101,175.0,beside,0.0284901821753741,0.2233380985667026,0.2006510002663438,0.2460025221925486,0.1006469127134685
300,101,175.0,beside,0.0328362532336575,0.2037354894636998,0.1864025006820472,0.2386187725564005,0.1020971358732439
300,101,175.0,beside,0.0278464385494234,0.2277757079457434,0.1992972023797273,0.2484431244850505,0.1001395206308773
300,101,172.4,front,0.0122673567065882,0.2676826375789167,0.160152128435635,0.2189895959966644,0.2705825680074449
300,101,172.4,front,0.0152180061832621,0.2744241273105434,0.1648949205344672,0.2194104873394876,0.2465891904916372
300,101,172.4,front,0.0141889637552924,0.2796695033281867,0.166809548877844,0.3098859033212243,0.2582108576285603
300,101,172.4,beside,0.0347646622528078,0.1797328697367265,0.1976032606474052,0.2459645096502367,0.1340140453694095
300,101,172.4,beside,0.0465343667820913,0.1679813871529299,0.1543306398219451,0.2376764645236234,0.1124358424035628
300,101,172.4,beside,0.0276080307338024,0.2206664570045382,0.2092450243741359,0.2537980531673268,0.1021629099765055
300,101,172.4,beside,0.0479134762751115,0.156524728874389,0.1600571328881887,0.2434949776730892,0.0929726026910375
300,101,167.0,front,0.0202153386499091,0.2432463161276481,0.1611568097259508,0.2773129612112618,0.2896972333958765
300,101,167.0,front,0.0215994192579383,0.2468504254520329,0.1608794476691978,0.2638541307700657,0.2892226636581707
300,101,167.0,front,0.0205310918067043,0.2379782058589211,0.1614126491625234,0.2709285085911291,0.2852380101883413
300,101,167.0,beside,0.0281394969957077,0.2178771808605442,0.2182594003275846,0.2655930549068268,0.1049919224554231
300,101,167.0,beside,0.0279990284627831,0.2359714821220094,0.2306040847338631,0.2722491281307948,0.1124344041045486
300,101,167.0,beside,0.0289177183577322,0.2352628542466451,0.2277561792756295,0.2747314582796321,0.1080492370451273
300,101,160.0,front,0.0170303550199507,0.2307256213965,0.1547600690481733,0.2471108790989357,0.2551321342649131
300,101,160.0,front,0.0171528050171184,0.2192551955076852,0.1538392725941292,0.2059796360181524,0.1890395832318818
300,101,160.0,front,0.0169195854317466,0.215802517911464,0.1549215584505685,0.2077931515861723,0.2105947527615879
300,101,160.0,beside,0.0281647357119928,0.1940530888389166,0.1734280341874919,0.2227929697353562,0.0920820322468462
300,101,160.0,beside,0.0255997687568504,0.1998366039505642,0.1799748519496137,0.2364355296124016,0.0956581508751922
300,101,160.0,beside,0.0275412362320366,0.1927329605184504,0.1860345678369249,0.2209700041675481,0.0857179669081206
300,101,171.0,front,0.0202168043915489,0.2440777899671005,0.1636162513253206,0.251291908329668,0.2617315105373439
300,101,171.0,front,0.0205666077912128,0.2412825505336041,0.1627385462817817,0.2513982130907953,0.2626199930193056
300,101,171.0,front,0.0193824787343364,0.2462962199508883,0.1628056351633125,0.2486814253997966,0.2619069996818051
300,101,171.0,beside,0.0310393843658515,0.2279147244678595,0.1914594973689031,0.2427097217642275,0.0961771688170699
300,101,171.0,beside,0.0347981804680944,0.2211105784022554,0.1885112355546768,0.2377453517180887,0.0923550831055183
300,101,171.0,beside,0.0315337587832058,0.2059393443201406,0.1737977318619931,0.2307327186819097,0.1034854893574094
300,101,171.0,front,0.0223709748051597,0.2160328530628777,0.1640346363223551,0.2361399686392738,0.2551735771294344
